period,area_of_usual_residence_desc,proportion
t0,Ryde (C),0.12083518436250555
t0,Warringah (A),0.12068710202872797
t0,Ku-ring-gai (A),0.09042894516017573
t0,Hornsby (A) - South,0.08583839281307074
t0,Willoughby (C),0.07779258601115553
t0,North Sydney (A),0.06732810109087319
t0,Hornsby (A) - North,0.06288563107754579
t0,Pittwater (A),0.04936077792586011
t0,Lane Cove (A),0.04032775556542771
t0,Mosman (A),0.037020583444395086
t0,Manly (A),0.03104792931536601
t0,Parramatta (C) - North-East,0.029567105977590206
t0,Hunters Hill (A),0.020780887506787107
t0,Gosford (C) - West,0.01737499382990276
t0,Baulkham Hills (A) - South,0.014018460930944271
t0,Wyong (A) - North-East,0.01352485315168567
t0,Wyong (A) - South and West,0.009970877141023743
t0,Gosford (C) - East,0.009575990917616862
t0,Baulkham Hills (A) - North,0.0092798262500617
t0,Baulkham Hills (A) - Central,0.007848363690211758
t0,Parramatta (C) - Inner,0.006663705019991115
t0,Lake Macquarie (C) - West,0.0034552544548102078
t0,Marrickville (A),0.003159089787255047
t0,Canterbury (C),0.0025667604521447257
t0,Canada Bay (A) - Drummoyne,0.002319956562515425
t0,Blacktown (C) - North,0.0018757095611826842
t0,Auburn (A),0.0018757095611826842
t0,Holroyd (C),0.0018263487832568242
t0,Leichhardt (A),0.0018263487832568242
t0,Blacktown (C) - South-East,0.0017276272274051039
t0,Greater Taree (C),0.0015795448936275235
t0,Bankstown (C) - North-West,0.0014808233377758032
t0,Bankstown (C) - North-East,0.0014314625598499432
t0,Great Lakes (A),0.0014314625598499432
t0,Bankstown (C) - South,0.0012833802260723629
t0,Maitland (C),0.0012833802260723629
t0,Shoalhaven (C) - Pt B,0.0011846586702206428
t0,Rockdale (C),0.0011846586702206428
t0,Tamworth Regional (A) - Pt A,0.0010859371143689225
t0,Hawkesbury (C),0.0010859371143689225
t0,Woollahra (A),0.0009872155585172022
t0,Blacktown (C) - South-West,0.0009378547805913421
t0,Canada Bay (A) - Concord,0.000888494002665482
t0,Parramatta (C) - North-West,0.000888494002665482
t0,Wingecarribee (A),0.000888494002665482
t0,Sydney (C) - Inner,0.0007897724468137618
t0,Sydney (C) - East,0.0007897724468137618
t0,Cessnock (C),0.0007897724468137618
t0,Penrith (C) - East,0.0007897724468137618
t0,Port Stephens (A),0.0007897724468137618
t0,Randwick (C),0.0007404116688879016
t0,Armidale Dumaresq (A) - City,0.0007404116688879016
t0,Sydney (C) - West,0.0007404116688879016
t0,Waverley (A),0.0007404116688879016
t0,Sutherland Shire (A) - East,0.0006910508909620416
t0,Port Macquarie-Hastings (A) - Pt A,0.0006416901130361814
t0,Orange (C),0.0006416901130361814
t0,Penrith (C) - West,0.0005923293351103214
t0,Campbelltown (C) - North,0.0005923293351103214
t0,Kempsey (A),0.0005923293351103214
t0,No Fixed Abode,0.0005923293351103214
t0,Ashfield (A),0.0005923293351103214
t0,Mid-Western Regional (A) - Pt A,0.0005429685571844612
t0,Newcastle (C) - Inner City,0.0005429685571844612
t0,Lake Macquarie (C) - North,0.0005429685571844612
t0,Strathfield (A),0.0005429685571844612
t0,Dubbo (C) - Pt A,0.0005429685571844612
t0,Fairfield (C) - East,0.0004936077792586011
t0,Liverpool Plains (A),0.0004936077792586011
t0,Fairfield (C) - West,0.0004936077792586011
t0,Coffs Harbour (C) - Pt A,0.0004936077792586011
t0,Eurobodalla (A),0.0004936077792586011
t0,Sydney South West AHS Part of 17205,0.000444247001332741
t0,Blue Mountains (C),0.000444247001332741
t0,Coffs Harbour (C) - Pt B,0.000444247001332741
t0,Hurstville (C),0.000444247001332741
t0,Lithgow (C),0.0003948862234068809
t0,Camden (A),0.0003948862234068809
t0,Bathurst Regional (A) - Pt A,0.0003948862234068809
t0,Warrumbungle Shire (A),0.0003948862234068809
t0,Sutherland Shire (A) - West,0.0003948862234068809
t0,Nambucca (A),0.0003455254454810208
t0,Botany Bay (C),0.0003455254454810208
t0,Liverpool (C) - West,0.0003455254454810208
t0,Shellharbour (C),0.0003455254454810208
t0,Bega Valley (A),0.0003455254454810208
t0,Not known NSW,0.0002961646675551607
t0,Lake Macquarie (C) - East,0.0002961646675551607
t0,Newcastle (C) - Throsby,0.0002961646675551607
t0,Dungog (A),0.0002961646675551607
t0,Campbelltown (C) - South,0.0002961646675551607
t0,Ipswich (C) - Central,0.0002961646675551607
t0,Tweed (A) - Tweed-Heads,0.00024680388962930054
t0,Port Macquarie-Hastings (A) - Pt B,0.00024680388962930054
t0,Clarence Valley (A) - Grafton,0.00024680388962930054
t0,Burwood (A),0.00024680388962930054
t0,Liverpool (C) - East,0.00024680388962930054
t0,Wollongong (C) - Inner,0.00024680388962930054
t0,Kiama (A),0.00024680388962930054
t0,Gunnedah (A),0.00024680388962930054
t0,Wollongong (C) Bal,0.00019744311170344044
t0,Richmond Valley (A) - Casino,0.00019744311170344044
t0,Newcastle (C) - Outer West,0.00019744311170344044
t0,Parramatta (C) - South,0.00019744311170344044
t0,Clarence Valley (A) Bal,0.00019744311170344044
t0,Warren (A),0.00019744311170344044
t0,Brimbank (C) - Sunshine,0.00019744311170344044
t0,Whittlesea (C) - South-West,0.00019744311170344044
t0,Parkes (A),0.00019744311170344044
t0,Overseas(incl Norfolk Island),0.00019744311170344044
t0,Tamworth Regional (A) - Pt B,0.00019744311170344044
t0,Gloucester (A),0.00019744311170344044
t0,Griffith (C),0.00019744311170344044
t0,Shoalhaven (C) - Pt A,0.00019744311170344044
t0,Coonamble (A),0.00014808233377758035
t0,Holt,0.00014808233377758035
t0,Wagga Wagga (C) - Pt B,0.00014808233377758035
t0,Upper Hunter Shire (A),0.00014808233377758035
t0,Higgins,0.00014808233377758035
t0,Launceston (C) - Pt B,0.00014808233377758035
t0,Goulburn Mulwaree (A) - Goulburn,0.00014808233377758035
t0,Narrandera (A),0.00014808233377758035
t0,Forbes (A),0.00014808233377758035
t0,Wollondilly (A),0.00014808233377758035
t0,Uralla (A),0.00014808233377758035
t0,Ainslie,9.872155585172022e-05
t0,Joondalup (C) - North,9.872155585172022e-05
t0,Longreach (S),9.872155585172022e-05
t0,Manly West,9.872155585172022e-05
t0,Manningham (C) - West,9.872155585172022e-05
t0,Maroochy (S) - Buderim,9.872155585172022e-05
t0,Maroondah (C) - Ringwood,9.872155585172022e-05
t0,Mitcham (C) - North-East,9.872155585172022e-05
t0,Moree Plains (A),9.872155585172022e-05
t0,Muswellbrook (A),9.872155585172022e-05
t0,Narrabri (A),9.872155585172022e-05
t0,Noosa (S) Bal,9.872155585172022e-05
t0,Oberon (A),9.872155585172022e-05
t0,Queanbeyan (C),9.872155585172022e-05
t0,Robertson,9.872155585172022e-05
t0,Singleton (A),9.872155585172022e-05
t0,Slacks Creek,9.872155585172022e-05
t0,South Eastern Sydney Illawarra AHS Part of 17205,9.872155585172022e-05
t0,Yass Valley (A),9.872155585172022e-05
t0,Kogarah (A),9.872155585172022e-05
t0,Lismore (C) - Pt A,9.872155585172022e-05
t0,Inverell (A) - Pt B,9.872155585172022e-05
