name,yhat,yhat_upper,yhat_lower,changepoint_prior_scale,seasonality_prior_scale
primary + additional,7.195999981921503,27.41927978349467,-28.50419416405947,0.01,0.01
Cardiomyopathy and heart failure,-4.079566259942179,37.46931158662278,-212.02534876141414,0.02,0.02
Ischaemic Heart Disease,12.62639278820462,45.414910856992634,-117.8865790616443,0.01,0.01
Atrial fibrillation and flutter,4.418910839078692,43.56554506436938,-212.08897259897387,0.01,0.01
Acute & Subacute endocarditis,-5.854616379929587,18.977654674560075,-51.51634301020454,0.05,0.01
Cardiac arrest,5.793275049520915,24.60653548537183,-24.606414800549594,0.02,0.01
Pulmonary embolism ,-0.13054837424594587,37.32384961144241,-149.31337619830833,0.02,0.01
Arrhythmias and conduction disorders,4.7788872818448525,42.91804582963714,-187.39335097064014,0.05,0.01
Pericarditis,6.043816521658437,33.45122348343075,-58.55673653515592,0.01,0.01
Myocarditis,0.0,1.2532201927155257e-07,-1.2814272992478865e-07,0.01,0.01
